k_ticker,result
KXMLBGAME-26AUG141420STLCHC-CHC,yes
KXMLBGAME-26AUG141420STLCHC-STL,no
KXMLBGAME-26AUG141810MIACIN-CIN,yes
KXMLBGAME-26AUG141810MIACIN-MIA,no
KXMLBGAME-26AUG141840BOSPIT-BOS,no
KXMLBGAME-26AUG141840BOSPIT-PIT,yes
KXMLBGAME-26AUG141910BALTB-BAL,yes
KXMLBGAME-26AUG141910BALTB-TB,no
KXMLBGAME-26AUG141910SDCLE-CLE,no
KXMLBGAME-26AUG141910SDCLE-SD,yes
KXMLBGAME-26AUG141910WSHNYM-NYM,yes
KXMLBGAME-26AUG141910WSHNYM-WSH,no
KXMLBGAME-26AUG141915AZATL-ATL,no
KXMLBGAME-26AUG141915AZATL-AZ,yes
KXMLBGAME-26AUG141915NYYTOR-NYY,no
KXMLBGAME-26AUG141915NYYTOR-TOR,yes
KXMLBGAME-26AUG142010SEAHOU-HOU,yes
KXMLBGAME-26AUG142010SEAHOU-SEA,no
KXMLBGAME-26AUG142138KCLAA-KC,yes
KXMLBGAME-26AUG142138KCLAA-LAA,no
KXMLBGAME-26AUG142210MILLAD-LAD,yes
KXMLBGAME-26AUG142210MILLAD-MIL,no
KXMLBGAME-26AUG142215COLSF-COL,yes
KXMLBGAME-26AUG142215COLSF-SF,no
KXNFLGAME-26AUG14DENATL-ATL,no
KXNFLGAME-26AUG14DENATL-DEN,yes
KXNFLGAME-26AUG14MIAWAS-MIA,no
KXNFLGAME-26AUG14MIAWAS-WAS,yes
KXNFLGAME-26AUG14TBNYJ-NYJ,no
KXNFLGAME-26AUG14TBNYJ-TB,yes
KXWNBAGAME-26AUG14DALIND-DAL,no
KXWNBAGAME-26AUG14DALIND-IND,yes
KXWNBAGAME-26AUG14PDXSEA-PDX,yes
KXWNBAGAME-26AUG14PDXSEA-SEA,no
KXLALIGAGAME-26AUG15SEVRVC-RVC,no
KXLALIGAGAME-26AUG15SEVRVC-SEV,yes
KXLALIGAGAME-26AUG15SEVRVC-TIE,no
KXLIGAMXGAME-26AUG15ALATOL-ALA,no
KXLIGAMXGAME-26AUG15ALATOL-TIE,yes
KXLIGAMXGAME-26AUG15ALATOL-TOL,no
KXLIGAMXGAME-26AUG15ATLTIG-ATL,yes
KXLIGAMXGAME-26AUG15ATLTIG-TIE,no
KXLIGAMXGAME-26AUG15ATLTIG-TIG,no
KXLIGAMXGAME-26AUG15MONJUA-JUA,no
KXLIGAMXGAME-26AUG15MONJUA-MON,yes
KXLIGAMXGAME-26AUG15MONJUA-TIE,no
KXMLBGAME-26AUG151420STLCHC-CHC,no
KXMLBGAME-26AUG151420STLCHC-STL,yes
KXMLBGAME-26AUG151507NYYTOR-NYY,no
KXMLBGAME-26AUG151507NYYTOR-TOR,yes
KXMLBGAME-26AUG151605COLSF-COL,no
KXMLBGAME-26AUG151605COLSF-SF,yes
KXMLBGAME-26AUG151610WSHNYM-NYM,yes
KXMLBGAME-26AUG151610WSHNYM-WSH,no
KXMLBGAME-26AUG151810BALTB-BAL,yes
KXMLBGAME-26AUG151810BALTB-TB,no
KXMLBGAME-26AUG151840MIACIN-CIN,no
KXMLBGAME-26AUG151840MIACIN-MIA,yes
KXMLBGAME-26AUG151910PHIMIN-MIN,no
KXMLBGAME-26AUG151910PHIMIN-PHI,yes
KXMLBGAME-26AUG151910SDCLE-CLE,yes
KXMLBGAME-26AUG151910SDCLE-SD,no
KXMLBGAME-26AUG151910SEAHOU-HOU,no
KXMLBGAME-26AUG151910SEAHOU-SEA,yes
KXMLBGAME-26AUG151915AZATL-ATL,no
KXMLBGAME-26AUG151915AZATL-AZ,yes
KXMLBGAME-26AUG151915BOSPIT-BOS,yes
KXMLBGAME-26AUG151915BOSPIT-PIT,no
KXMLBGAME-26AUG151915MILLAD-LAD,no
KXMLBGAME-26AUG151915MILLAD-MIL,yes
KXMLBGAME-26AUG152138KCLAA-KC,no
KXMLBGAME-26AUG152138KCLAA-LAA,yes
KXMLSGAME-26AUG15CLTCLB-CLB,no
KXMLSGAME-26AUG15CLTCLB-CLT,yes
KXMLSGAME-26AUG15CLTCLB-TIE,no
KXMLSGAME-26AUG15COLSKC-COL,yes
KXMLSGAME-26AUG15COLSKC-SKC,no
KXMLSGAME-26AUG15COLSKC-TIE,no
KXMLSGAME-26AUG15NSHMIA-MIA,no
KXMLSGAME-26AUG15NSHMIA-NSH,yes
KXMLSGAME-26AUG15NSHMIA-TIE,no
KXMLSGAME-26AUG15ORLCIN-CIN,no
KXMLSGAME-26AUG15ORLCIN-ORL,no
KXMLSGAME-26AUG15ORLCIN-TIE,yes
KXMLSGAME-26AUG15RSLMIN-MIN,no
KXMLSGAME-26AUG15RSLMIN-RSL,no
KXMLSGAME-26AUG15RSLMIN-TIE,yes
KXMLSGAME-26AUG15TORNE-NE,no
KXMLSGAME-26AUG15TORNE-TIE,no
KXMLSGAME-26AUG15TORNE-TOR,yes
KXNFLGAME-26AUG15CARBUF-BUF,yes
KXNFLGAME-26AUG15CARBUF-CAR,no
KXNFLGAME-26AUG15CLECHI-CHI,yes
KXNFLGAME-26AUG15CLECHI-CLE,no
KXNFLGAME-26AUG15DALSEA-DAL,yes
KXNFLGAME-26AUG15DALSEA-SEA,no
KXNFLGAME-26AUG15JACNO-JAC,yes
KXNFLGAME-26AUG15JACNO-NO,no
KXNFLGAME-26AUG15LARKC-KC,no
KXNFLGAME-26AUG15LARKC-LAR,yes
KXNFLGAME-26AUG15MINNYG-MIN,yes
KXNFLGAME-26AUG15MINNYG-NYG,no
KXNFLGAME-26AUG15PHIBAL-BAL,yes
KXNFLGAME-26AUG15PHIBAL-PHI,no
KXWNBAGAME-26AUG15LAWSH-LA,no
KXWNBAGAME-26AUG15LAWSH-WSH,yes
KXWNBAGAME-26AUG15MINLV-LV,no
KXWNBAGAME-26AUG15MINLV-MIN,yes
KXWNBAGAME-26AUG15NYCONN-CONN,no
KXWNBAGAME-26AUG15NYCONN-NY,yes
KXLALIGAGAME-26AUG16ESPLEV-ESP,yes
KXLALIGAGAME-26AUG16ESPLEV-LEV,no
KXLALIGAGAME-26AUG16ESPLEV-TIE,no
KXLALIGAGAME-26AUG16SANVIL-SAN,no
KXLALIGAGAME-26AUG16SANVIL-TIE,yes
KXLALIGAGAME-26AUG16SANVIL-VIL,no
KXLIGAMXGAME-26AUG16SLACDG-CDG,yes
KXLIGAMXGAME-26AUG16SLACDG-SLA,no
KXLIGAMXGAME-26AUG16SLACDG-TIE,no
KXLIGAMXGAME-26AUG16TIJCRA-CRA,no
KXLIGAMXGAME-26AUG16TIJCRA-TIE,no
KXLIGAMXGAME-26AUG16TIJCRA-TIJ,yes
KXMLBGAME-26AUG161215BALTB-BAL,yes
KXMLBGAME-26AUG161215BALTB-TB,no
KXMLBGAME-26AUG161335AZATL-ATL,yes
KXMLBGAME-26AUG161335AZATL-AZ,no
KXMLBGAME-26AUG161335BOSPIT-BOS,no
KXMLBGAME-26AUG161335BOSPIT-PIT,yes
KXMLBGAME-26AUG161337NYYTOR-NYY,yes
KXMLBGAME-26AUG161337NYYTOR-TOR,no
KXMLBGAME-26AUG161340MIACIN-CIN,no
KXMLBGAME-26AUG161340MIACIN-MIA,yes
KXMLBGAME-26AUG161340SDCLE-CLE,no
KXMLBGAME-26AUG161340SDCLE-SD,yes
KXMLBGAME-26AUG161340WSHNYM-NYM,yes
KXMLBGAME-26AUG161340WSHNYM-WSH,no
KXMLBGAME-26AUG161410PHIMIN-MIN,no
KXMLBGAME-26AUG161410PHIMIN-PHI,yes
KXMLBGAME-26AUG161515STLCHC-CHC,no
KXMLBGAME-26AUG161515STLCHC-STL,yes
KXMLBGAME-26AUG161605COLSF-COL,yes
KXMLBGAME-26AUG161605COLSF-SF,no
KXMLBGAME-26AUG161607KCLAA-KC,yes
KXMLBGAME-26AUG161607KCLAA-LAA,no
KXMLBGAME-26AUG161610MILLAD-LAD,no
KXMLBGAME-26AUG161610MILLAD-MIL,yes
KXMLBGAME-26AUG161920SEAHOU-HOU,no
KXMLBGAME-26AUG161920SEAHOU-SEA,yes
KXMLSGAME-26AUG16ATXDAL-ATX,no
KXMLSGAME-26AUG16ATXDAL-DAL,yes
KXMLSGAME-26AUG16ATXDAL-TIE,no
KXMLSGAME-26AUG16CHIPOR-CHI,yes
KXMLSGAME-26AUG16CHIPOR-POR,no
KXMLSGAME-26AUG16CHIPOR-TIE,no
KXMLSGAME-26AUG16NYCPHI-NYC,no
KXMLSGAME-26AUG16NYCPHI-PHI,yes
KXMLSGAME-26AUG16NYCPHI-TIE,no
KXMLSGAME-26AUG16SEAVAN-SEA,no
KXMLSGAME-26AUG16SEAVAN-TIE,no
KXMLSGAME-26AUG16SEAVAN-VAN,yes
KXWNBAGAME-26AUG16CHISEA-CHI,yes
KXWNBAGAME-26AUG16CHISEA-SEA,no
KXWNBAGAME-26AUG16INDATL-ATL,no
KXWNBAGAME-26AUG16INDATL-IND,yes
KXWNBAGAME-26AUG16PDXPHX-PDX,yes
KXWNBAGAME-26AUG16PDXPHX-PHX,no
KXLALIGAGAME-26AUG17DEPELC-DEP,no
KXLALIGAGAME-26AUG17DEPELC-ELC,no
KXLALIGAGAME-26AUG17DEPELC-TIE,yes
KXLIGAMXGAME-26AUG17PACPUE-PAC,no
KXLIGAMXGAME-26AUG17PACPUE-PUE,yes
KXLIGAMXGAME-26AUG17PACPUE-TIE,no
KXMLBGAME-26AUG171340STLCING1-CIN,no
KXMLBGAME-26AUG171340STLCING1-STL,yes
KXMLBGAME-26AUG171805BALTB-BAL,no
KXMLBGAME-26AUG171805BALTB-TB,yes
KXMLBGAME-26AUG171840MIAPHI-MIA,no
KXMLBGAME-26AUG171840MIAPHI-PHI,yes
KXMLBGAME-26AUG171840STLCING2-CIN,yes
KXMLBGAME-26AUG171840STLCING2-STL,no
KXMLBGAME-26AUG171905DETPIT-DET,yes
KXMLBGAME-26AUG171905DETPIT-PIT,no
