action,book_side,count_fp,created_time,fee_cost,fill_id,is_taker,market_ticker,no_price_dollars,order_id,outcome_side,side,subaccount_number,ticker,trade_id,ts,yes_price_dollars
buy,bid,2.34,2026-08-05 22:55:55.249708+00:00,0.033100,fba3d9d3-54af-7c82-0d77-c1f698944300,True,KXBTCD-26AUG0519-T64599.99,0.2800,48547c72-8251-4e9c-a3fe-4523e66b9f0b,yes,yes,0,KXBTCD-26AUG0519-T64599.99,fba3d9d3-54af-7c82-0d77-c1f698944300,1785970555,0.7200
sell,bid,1.88,2026-08-05 22:54:36.379219+00:00,0.000000,b0994fba-a5b9-6546-8733-caa88018152f,False,KXBTC15M-26AUG051900-00,0.9100,2d4ca00c-e3d4-43c8-8446-7ed603887ebf,yes,yes,0,KXBTC15M-26AUG051900-00,b0994fba-a5b9-6546-8733-caa88018152f,1785970476,0.0900
buy,ask,1.88,2026-08-05 22:48:07.619051+00:00,0.031900,a37f010b-b956-410b-fd8a-b9b74360361c,True,KXBTC15M-26AUG051900-00,0.5900,617abcb7-366a-409c-9be4-6c9f4de9b590,no,no,0,KXBTC15M-26AUG051900-00,a37f010b-b956-410b-fd8a-b9b74360361c,1785970087,0.4100
sell,ask,12.25,2026-08-05 22:40:15.635212+00:00,0.077200,67eaa4ad-8647-6b92-e861-8534fdc1aa9a,True,KXBTC15M-26AUG051845-45,0.9000,b22a054e-4040-4a2f-9b9d-55493788a597,no,no,0,KXBTC15M-26AUG051845-45,67eaa4ad-8647-6b92-e861-8534fdc1aa9a,1785969615,0.1000
buy,bid,12.25,2026-08-05 22:32:49.413156+00:00,0.160800,6e02cf1f-44f1-55f7-e076-83f4c9b90d5d,True,KXBTC15M-26AUG051845-45,0.2500,2c3e2276-8fb4-4562-9b48-a1e382470af4,yes,yes,0,KXBTC15M-26AUG051845-45,6e02cf1f-44f1-55f7-e076-83f4c9b90d5d,1785969169,0.7500
sell,bid,5.95,2026-08-05 22:28:34.272930+00:00,0.006600,ccec0963-6ab0-5fdf-8f02-53030955411c,True,KXBTC15M-26AUG051830-30,0.0160,93ab7908-b5d1-472a-8e00-95693e5dbb61,yes,yes,0,KXBTC15M-26AUG051830-30,ccec0963-6ab0-5fdf-8f02-53030955411c,1785968914,0.9840
sell,bid,8.14,2026-08-05 22:28:34.272930+00:00,0.009040,8636f4f1-13bb-5b89-b251-ea21f52efed2,True,KXBTC15M-26AUG051830-30,0.0160,93ab7908-b5d1-472a-8e00-95693e5dbb61,yes,yes,0,KXBTC15M-26AUG051830-30,8636f4f1-13bb-5b89-b251-ea21f52efed2,1785968914,0.9840
buy,ask,14.09,2026-08-05 22:27:51.936905+00:00,0.189800,51845050-b9d1-4787-2693-c4471204aa9d,True,KXBTC15M-26AUG051830-30,0.7400,b62cec96-c655-4207-a352-401d0ca1c511,no,no,0,KXBTC15M-26AUG051830-30,51845050-b9d1-4787-2693-c4471204aa9d,1785968871,0.2600
sell,ask,0.01,2026-08-05 22:27:06.372722+00:00,0.000200,8e2e5a94-0262-7647-c491-df70a7fb282a,True,KXBTC15M-26AUG051830-30,0.6100,8f7df901-e818-4cb8-9896-5c9862095df5,no,no,0,KXBTC15M-26AUG051830-30,8e2e5a94-0262-7647-c491-df70a7fb282a,1785968826,0.3900
sell,bid,34.17,2026-08-05 22:26:50.757940+00:00,0.000000,fa33cc8b-15a0-557c-a16a-6759cea94d29,False,KXBTC15M-26AUG051830-30,0.5200,b9a9dfa8-92a5-4bb2-9cb2-128d4cd13af1,yes,yes,0,KXBTC15M-26AUG051830-30,fa33cc8b-15a0-557c-a16a-6759cea94d29,1785968810,0.4800
sell,bid,0.01,2026-08-05 22:26:42.012716+00:00,0.000100,41492001-4611-4966-928d-5120999758a1,True,KXBTC15M-26AUG051830-30,0.0900,e14b2221-d8d2-417e-8a0f-35b25102f411,yes,yes,0,KXBTC15M-26AUG051830-30,41492001-4611-4966-928d-5120999758a1,1785968802,0.9100
buy,ask,34.17,2026-08-05 22:25:12.733543+00:00,0.536800,2bb87ad1-8e80-55f6-754c-115b4a926076,True,KXBTC15M-26AUG051830-30,0.3400,d2987e43-a0d2-4639-b4bd-2461308d3fe4,no,no,0,KXBTC15M-26AUG051830-30,2bb87ad1-8e80-55f6-754c-115b4a926076,1785968712,0.6600
sell,ask,23.98,2026-08-05 22:23:06.785892+00:00,0.419000,b1d91b37-b116-6e41-2f41-25e4be1be07d,True,KXBTC15M-26AUG051830-30,0.5200,ff9c1bb6-2ccb-4b31-adfd-f74e08826b49,no,no,0,KXBTC15M-26AUG051830-30,b1d91b37-b116-6e41-2f41-25e4be1be07d,1785968586,0.4800
buy,bid,2.78,2026-08-05 22:20:26.345583+00:00,0.042400,06e40a15-60bd-6880-5e95-6860c4291954,True,KXBTC15M-26AUG051830-30,0.3200,4aa01f5f-ccc6-4b4d-b6ae-1191fbe5dc77,yes,yes,0,KXBTC15M-26AUG051830-30,06e40a15-60bd-6880-5e95-6860c4291954,1785968426,0.6800
buy,bid,21.20,2026-08-05 22:20:17.912431+00:00,0.278300,f6a2e659-d878-40a0-03d4-a9f314728471,True,KXBTC15M-26AUG051830-30,0.2500,152f88f6-e436-4147-accb-6596ff0b5524,yes,yes,0,KXBTC15M-26AUG051830-30,f6a2e659-d878-40a0-03d4-a9f314728471,1785968417,0.7500
sell,bid,22.78,2026-08-05 22:17:48.958109+00:00,0.375700,1b483191-a02f-6789-ca6a-e15980627156,True,KXBTC15M-26AUG051830-30,0.3800,bed7bc50-9e96-4b0b-991c-140f83f2b8bf,yes,yes,0,KXBTC15M-26AUG051830-30,1b483191-a02f-6789-ca6a-e15980627156,1785968268,0.6200
