event_ticker,fee_cost,market_result,no_count_fp,no_total_cost_dollars,revenue,settled_time,ticker,value,yes_count_fp,yes_total_cost_dollars,date,cost,payout,net,series
KXBTCD-26AUG0519,0.0331,no,0.0,0.0,0,2026-08-05 23:02:50.968987+00:00,KXBTCD-26AUG0519-T64599.99,0,2.34,1.6848,2026-08-05,1.6848,0.0,-1.7179,KXBTCD
KXBTC15M-26AUG051900,0.0319,no,1.88,1.1092,0,2026-08-05 23:00:10.912457+00:00,KXBTC15M-26AUG051900-00,0,1.88,0.1692,2026-08-05,1.2784,1.88,0.5696999999999999,KXBTC15M
KXBTC15M-26AUG051845,0.238,no,12.25,11.025,0,2026-08-05 22:45:10.914195+00:00,KXBTC15M-26AUG051845-45,0,12.25,9.1875,2026-08-05,20.2125,12.25,-8.200499999999998,KXBTC15M
KXBTC15M-26AUG051830,2.25094,yes,95.03,47.2769,0,2026-08-05 22:30:10.915952+00:00,KXBTC15M-26AUG051830-30,100,95.03,62.18926,2026-08-05,109.46616,95.03,-16.6871,KXBTC15M
KXBTC15M-26AUG051815,0.44085,no,31.39,21.7592,0,2026-08-05 22:15:10.914775+00:00,KXBTC15M-26AUG051815-15,0,31.39,2.24665,2026-08-05,24.00585,31.39,6.943300000000002,KXBTC15M
KXBTCD-26AUG0518,0.2122,no,14.17,9.7773,0,2026-08-05 22:02:50.967067+00:00,KXBTCD-26AUG0518-T64799.99,0,14.17,1.1336,2026-08-05,10.9109,14.17,3.0469,KXBTCD
KXBTCD-26AUG0518,0.413,no,30.56,22.5708,0,2026-08-05 22:02:50.967067+00:00,KXBTCD-26AUG0518-T64699.99,0,30.56,1.5278,2026-08-05,24.098599999999998,30.56,6.048400000000001,KXBTCD
KXBTC15M-26AUG051715,0.14925,no,10.35,7.3485,0,2026-08-05 21:15:10.903871+00:00,KXBTC15M-26AUG051715-15,0,10.35,0.34155,2026-08-05,7.690049999999999,10.35,2.5107000000000004,KXBTC15M
KXBTC15M-26AUG051700,0.0292,no,7.5,7.0575,0,2026-08-05 21:00:10.912556+00:00,KXBTC15M-26AUG051700-00,0,7.5,0.0075,2026-08-05,7.065,7.5,0.4057999999999996,KXBTC15M
KXBTC15M-26AUG051645,0.1379,yes,7.88,3.94,0,2026-08-05 20:45:10.917410+00:00,KXBTC15M-26AUG051645-45,100,7.88,0.788,2026-08-05,4.728,7.88,3.0141,KXBTC15M
KXBTC15M-26AUG051630,0.0015,yes,0.0,0.0,406,2026-08-05 20:30:10.916620+00:00,KXBTC15M-26AUG051630-30,100,4.06,4.0397,2026-08-05,4.0397,4.06,0.01879999999999976,KXBTC15M
KXBTC15M-26AUG051615,0.07354,yes,4.26,0.25986,0,2026-08-05 20:15:10.916132+00:00,KXBTC15M-26AUG051615-15,100,4.26,1.8744,2026-08-05,2.1342600000000003,4.26,2.0521999999999996,KXBTC15M
KXBTC15M-26AUG051600,0.0256,no,2.0,1.52,200,2026-08-05 20:00:10.912108+00:00,KXBTC15M-26AUG051600-00,0,0.0,0.0,2026-08-05,1.52,2.0,0.45439999999999997,KXBTC15M
KXBTC15M-26AUG051545,0.1191,no,4.43,2.8158,154,2026-08-05 19:45:10.911983+00:00,KXBTC15M-26AUG051545-45,0,2.89,1.7051,2026-08-05,4.5209,4.43,-0.2100000000000004,KXBTC15M
KXBTC15M-26AUG051530,0.2146,yes,8.53,4.1353,0,2026-08-05 19:30:10.909274+00:00,KXBTC15M-26AUG051530-30,100,8.53,6.6571,2026-08-05,10.7924,8.53,-2.477000000000001,KXBTC15M
KXBTC15M-26AUG051515,1.0109,yes,43.76,26.256,0,2026-08-05 19:15:10.908731+00:00,KXBTC15M-26AUG051515-15,100,43.76,39.384,2026-08-05,65.64,43.76,-22.890900000000002,KXBTC15M
KXBTCD-26AUG0515,0.3865,yes,41.08,0.4108,0,2026-08-05 19:02:51.015811+00:00,KXBTCD-26AUG0515-T64699.99,100,41.08,34.5072,2026-08-05,34.918,41.08,5.775499999999999,KXBTCD
KXBTC15M-26AUG051500,0.8317,no,29.59,22.7843,0,2026-08-05 19:00:10.917080+00:00,KXBTC15M-26AUG051500-00,0,29.59,19.5294,2026-08-05,42.3137,29.59,-13.555399999999997,KXBTC15M
KXBTC15M-26AUG051445,0.9831,yes,43.45,29.546,0,2026-08-05 18:45:10.910116+00:00,KXBTC15M-26AUG051445-45,100,43.45,38.236,2026-08-05,67.782,43.45,-25.315099999999994,KXBTC15M
KXBTC15M-26AUG051430,0.69306,no,42.96,27.4944,0,2026-08-05 18:30:10.909319+00:00,KXBTC15M-26AUG051430-30,0,42.96,2.74944,2026-08-05,30.24384,42.96,12.023100000000003,KXBTC15M
KXBTC15M-26AUG051415,0.7253,yes,42.83,25.2697,0,2026-08-05 18:15:10.913081+00:00,KXBTC15M-26AUG051415-15,100,42.83,5.1396,2026-08-05,30.4093,42.83,11.695399999999996,KXBTC15M
KXBTCD-26AUG0514,0.4974,yes,36.81,0.3681,0,2026-08-05 18:02:50.966358+00:00,KXBTCD-26AUG0514-T64699.99,100,36.81,23.6688,2026-08-05,24.0369,36.81,12.275700000000002,KXBTCD
KXBTCD-26AUG0514,0.411,yes,24.46,0.2446,0,2026-08-05 18:02:50.966358+00:00,KXBTCD-26AUG0514-T64599.99,100,24.46,14.676,2026-08-05,14.9206,24.46,9.128400000000001,KXBTCD
KXBTC15M-26AUG051345,4.13556,yes,183.92,104.8344,0,2026-08-05 17:45:10.909494+00:00,KXBTC15M-26AUG051345-45,100,183.92,168.65464,2026-08-05,273.48904,183.92,-93.7046,KXBTC15M
KXBTC15M-26AUG051330,45.2653,yes,1975.64,1413.2401,0,2026-08-05 17:30:10.912886+00:00,KXBTC15M-26AUG051330-30,100,1479.86,933.1377,2026-08-05,2346.3778,1479.86,-911.7831000000003,KXBTC15M
KXBTC15M-26AUG051315,2.8838,no,725.77,681.72194,0,2026-08-05 17:15:10.910494+00:00,KXBTC15M-26AUG051315-15,0,725.77,5.80616,2026-08-05,687.5281,725.77,35.358099999999986,KXBTC15M
KXBTCD-26AUG0513,10.8352,yes,908.82,209.7307,0,2026-08-05 17:02:40.976706+00:00,KXBTCD-26AUG0513-T64599.99,100,908.82,730.1743,2026-08-05,939.905,908.82,-41.92019999999992,KXBTCD
KXBTC15M-26AUG051300,9.2292,no,520.7,458.216,0,2026-08-05 17:00:10.908573+00:00,KXBTC15M-26AUG051300-00,0,520.7,93.726,2026-08-05,551.942,520.7,-40.47119999999996,KXBTC15M
KXBTCD-26AUG0512,2.2896,no,541.34,506.3596,0,2026-08-05 16:02:50.966719+00:00,KXBTCD-26AUG0512-T64499.99,0,541.34,5.4134,2026-08-05,511.773,541.34,27.277400000000007,KXBTCD
