series,league,event,match,line,model_raw,model,bid,ask,spread,gap,when,ticker,aligned,tradeable,pick
KXMLSTOTAL,USA:MLS,KXMLSTOTAL-26SEP05CINDCU,FC Cincinnati v DC United,2.5,0.6998,0.6661,0.53,0.97,0.44,-0.3039,2026-09-06T03:30:00Z,KXMLSTOTAL-26SEP05CINDCU-3,False,False,False
KXLIGAMXTOTAL,MEX:Liga MX,KXLIGAMXTOTAL-26SEP06CRASLA,Cruz Azul v Santos Laguna,2.5,0.6568,0.6362,0.67,0.68,0.01,-0.0438,2026-09-07T06:00:00Z,KXLIGAMXTOTAL-26SEP06CRASLA-3,False,True,False
KXSERIEATOTAL,I1,KXSERIEATOTAL-26SEP07CAGLEC,Cagliari v Lecce,2.5,0.3382,0.4198,0.38,0.39,0.01,0.0298,2026-09-07T20:30:00Z,KXSERIEATOTAL-26SEP07CAGLEC-3,True,True,False
KXLALIGATOTAL,SP1,KXLALIGATOTAL-26SEP07GETRCC,Getafe v Celta,2.5,0.3009,0.3922,0.3,0.31,0.01,0.0822,2026-09-07T21:00:00Z,KXLALIGATOTAL-26SEP07GETRCC-3,False,True,False
KXSERIEATOTAL,I1,KXSERIEATOTAL-26SEP07UDILAZ,Udinese v Lazio,2.5,0.4194,0.4769,0.4,0.41,0.01,0.0669,2026-09-07T22:45:00Z,KXSERIEATOTAL-26SEP07UDILAZ-3,False,True,False
KXLALIGATOTAL,SP1,KXLALIGATOTAL-26SEP07ELCRSO,Elche v Sociedad,2.5,0.4821,0.5193,0.53,0.54,0.01,-0.0207,2026-09-07T23:30:00Z,KXLALIGATOTAL-26SEP07ELCRSO-3,True,True,False
KXMLSTOTAL,USA:MLS,KXMLSTOTAL-26SEP09ATLORL,Atlanta Utd v Orlando City,2.5,0.6251,0.6146,0.64,0.65,0.01,-0.0354,2026-09-10T03:30:00Z,KXMLSTOTAL-26SEP09ATLORL-3,False,True,False
KXMLSTOTAL,USA:MLS,KXMLSTOTAL-26SEP09MTLCLT,CF Montreal v Charlotte,2.5,0.5044,0.5342,0.6,0.61,0.01,-0.0758,2026-09-10T03:30:00Z,KXMLSTOTAL-26SEP09MTLCLT-3,False,True,False
KXMLSTOTAL,USA:MLS,KXMLSTOTAL-26SEP09DCUCLB,DC United v Columbus Crew,2.5,0.5824,0.5859,0.55,0.57,0.02,0.0159,2026-09-10T03:30:00Z,KXMLSTOTAL-26SEP09DCUCLB-3,True,True,False
KXMLSTOTAL,USA:MLS,KXMLSTOTAL-26SEP09PHICIN,Philadelphia Union v FC Cincinnati,2.5,0.6575,0.6366,0.68,0.7,0.02,-0.0634,2026-09-10T03:30:00Z,KXMLSTOTAL-26SEP09PHICIN-3,False,True,False
KXMLSTOTAL,USA:MLS,KXMLSTOTAL-26SEP09TORNSH,Toronto FC v Nashville SC,2.5,0.4307,0.4847,0.56,0.58,0.02,-0.0953,2026-09-10T03:30:00Z,KXMLSTOTAL-26SEP09TORNSH-3,False,True,False
KXMLSTOTAL,USA:MLS,KXMLSTOTAL-26SEP09NYCNE,New York City v New England Revolution,2.5,0.5174,0.5428,0.56,0.57,0.01,-0.0272,2026-09-10T04:00:00Z,KXMLSTOTAL-26SEP09NYCNE-3,True,True,False
KXMLSTOTAL,USA:MLS,KXMLSTOTAL-26SEP09ATXCOL,Austin FC v Colorado Rapids,2.5,0.5227,0.5463,0.52,0.53,0.01,0.0163,2026-09-10T04:30:00Z,KXMLSTOTAL-26SEP09ATXCOL-3,True,True,False
KXMLSTOTAL,USA:MLS,KXMLSTOTAL-26SEP09CHIMIA,Chicago Fire v Inter Miami,2.5,0.7755,0.7218,0.71,0.74,0.03,-0.0182,2026-09-10T04:30:00Z,KXMLSTOTAL-26SEP09CHIMIA-3,True,True,True
KXMLSTOTAL,USA:MLS,KXMLSTOTAL-26SEP09HOURSL,Houston Dynamo v Real Salt Lake,2.5,0.4866,0.5223,0.57,0.58,0.01,-0.0577,2026-09-10T04:30:00Z,KXMLSTOTAL-26SEP09HOURSL-3,False,True,False
KXMLSTOTAL,USA:MLS,KXMLSTOTAL-26SEP09MINDAL,Minnesota United v FC Dallas,2.5,0.5257,0.5483,0.6,0.61,0.01,-0.0617,2026-09-10T04:30:00Z,KXMLSTOTAL-26SEP09MINDAL-3,False,True,False
KXMLSTOTAL,USA:MLS,KXMLSTOTAL-26SEP09LAFCNYRB,Los Angeles FC v New York Red Bulls,2.5,0.6058,0.6016,0.67,0.68,0.01,-0.0784,2026-09-10T06:30:00Z,KXMLSTOTAL-26SEP09LAFCNYRB-3,False,True,False
KXMLSTOTAL,USA:MLS,KXMLSTOTAL-26SEP09PORSTL,Portland Timbers v St. Louis City,2.5,0.6214,0.6121,0.61,0.62,0.01,-0.0079,2026-09-10T06:30:00Z,KXMLSTOTAL-26SEP09PORSTL-3,True,True,True
KXMLSTOTAL,USA:MLS,KXMLSTOTAL-26SEP09SDSJ,San Diego FC v San Jose Earthquakes,2.5,0.7028,0.6682,0.67,0.69,0.02,-0.0218,2026-09-10T06:30:00Z,KXMLSTOTAL-26SEP09SDSJ-3,True,True,True
KXMLSTOTAL,USA:MLS,KXMLSTOTAL-26SEP09VANLAG,Vancouver Whitecaps v Los Angeles Galaxy,2.5,0.665,0.6418,0.67,0.69,0.02,-0.0482,2026-09-10T06:30:00Z,KXMLSTOTAL-26SEP09VANLAG-3,False,True,False
KXSERIEATOTAL,I1,KXSERIEATOTAL-26SEP11VENFIO,Venezia v Fiorentina,2.5,0.4905,0.5249,0.52,0.54,0.02,-0.0151,2026-09-11T22:45:00Z,KXSERIEATOTAL-26SEP11VENFIO-3,True,True,False
KXLALIGATOTAL,SP1,KXLALIGATOTAL-26SEP11SEVVCF,Sevilla v Valencia,2.5,0.4701,0.5112,0.37,0.4,0.03,0.1112,2026-09-11T23:00:00Z,KXLALIGATOTAL-26SEP11SEVVCF-3,False,True,False
KXLIGAMXTOTAL,MEX:Liga MX,KXLIGAMXTOTAL-26SEP11NCXPUE,Necaxa v Puebla,2.5,0.5699,0.5777,0.57,0.6,0.03,-0.0223,2026-09-12T05:00:00Z,KXLIGAMXTOTAL-26SEP11NCXPUE-3,True,True,False
KXLIGAMXTOTAL,MEX:Liga MX,KXLIGAMXTOTAL-26SEP11ALAPAC,Atlante v Pachuca,2.5,0.5599,0.571,0.53,0.57,0.04,0.001,2026-09-12T07:00:00Z,KXLIGAMXTOTAL-26SEP11ALAPAC-3,True,True,False
KXLIGAMXTOTAL,MEX:Liga MX,KXLIGAMXTOTAL-26SEP12TOLATL,Toluca v Atlas,2.5,0.5888,0.5902,0.57,0.61,0.04,-0.0198,2026-09-12T10:00:00Z,KXLIGAMXTOTAL-26SEP12TOLATL-3,True,False,False
KXLALIGATOTAL,SP1,KXLALIGATOTAL-26SEP12SANALA,Santander v Alaves,2.5,0.5691,0.5771,0.54,0.56,0.02,0.0171,2026-09-12T16:00:00Z,KXLALIGATOTAL-26SEP12SANALA-3,True,True,False
KXSERIEATOTAL,I1,KXSERIEATOTAL-26SEP12GENFRO,Genoa v Frosinone,2.5,0.4068,0.4683,0.45,0.48,0.03,-0.0117,2026-09-12T17:00:00Z,KXSERIEATOTAL-26SEP12GENFRO-3,True,True,False
KXBUNDESLIGATOTAL,D1,KXBUNDESLIGATOTAL-26SEP12FCALEV,Augsburg v Leverkusen,2.5,0.585,0.5877,0.66,0.7,0.04,-0.1123,2026-09-12T17:30:00Z,KXBUNDESLIGATOTAL-26SEP12FCALEV-3,False,True,False
KXBUNDESLIGATOTAL,D1,KXBUNDESLIGATOTAL-26SEP12BVBPAD,Dortmund v Paderborn,2.5,0.6878,0.6576,0.7,0.73,0.03,-0.0724,2026-09-12T17:30:00Z,KXBUNDESLIGATOTAL-26SEP12BVBPAD-3,False,True,False
KXBUNDESLIGATOTAL,D1,KXBUNDESLIGATOTAL-26SEP12SCFBMG,Freiburg v M'gladbach,2.5,0.5767,0.5821,0.57,0.62,0.05,-0.0379,2026-09-12T17:30:00Z,KXBUNDESLIGATOTAL-26SEP12SCFBMG-3,False,False,False
KXBUNDESLIGATOTAL,D1,KXBUNDESLIGATOTAL-26SEP12TSGVFB,Hoffenheim v Stuttgart,2.5,0.7202,0.6807,0.65,0.69,0.04,-0.0093,2026-09-12T17:30:00Z,KXBUNDESLIGATOTAL-26SEP12TSGVFB-3,True,True,True
KXEPLTOTAL,E0,KXEPLTOTAL-26SEP12BOUBRE,Bournemouth v Brentford,2.5,0.545,0.5611,0.56,0.58,0.02,-0.0189,2026-09-12T18:00:00Z,KXEPLTOTAL-26SEP12BOUBRE-3,True,True,False
KXEPLTOTAL,E0,KXEPLTOTAL-26SEP12LFCFUL,Liverpool v Fulham,2.5,0.608,0.6031,0.65,0.67,0.02,-0.0669,2026-09-12T18:00:00Z,KXEPLTOTAL-26SEP12LFCFUL-3,False,True,False
KXLALIGATOTAL,SP1,KXLALIGATOTAL-26SEP12OSAESP,Osasuna v Espanol,2.5,0.429,0.4835,0.43,0.44,0.01,0.0435,2026-09-12T18:15:00Z,KXLALIGATOTAL-26SEP12OSAESP-3,False,True,False
KXSERIEATOTAL,I1,KXSERIEATOTAL-26SEP12LAZACM,Lazio v Milan,2.5,0.4311,0.4849,0.39,0.42,0.03,0.0649,2026-09-12T20:00:00Z,KXSERIEATOTAL-26SEP12LAZACM-3,False,True,False
