xi,half_life_days,reg,n,logloss,market_logloss,gap
0.0025,277,1.0,41984,1.0168176513424738,1.0005585451172316,0.01625910622524218
0.0025,277,2.0,41984,1.0169946266767138,1.0005585451172316,0.016436081559482174
0.0015,462,2.0,41984,1.017198015100334,1.0005585451172316,0.016639469983102284
0.0015,462,1.0,41984,1.0173301986262147,1.0005585451172316,0.01677165350898302
0.0015,462,5.0,41984,1.017899977799071,1.0005585451172316,0.017341432681839297
0.0025,277,5.0,41984,1.0184727921969523,1.0005585451172316,0.01791424707972067
0.004,173,1.0,41984,1.0191741636069553,1.0005585451172316,0.018615618489723706
0.0008,866,5.0,41984,1.0194070691110553,1.0005585451172316,0.01884852399382364
0.0008,866,2.0,41984,1.0194211542447733,1.0005585451172316,0.018862609127541674
0.004,173,2.0,41984,1.019540149591891,1.0005585451172316,0.018981604474659353
0.0008,866,1.0,41984,1.0197536763052097,1.0005585451172316,0.01919513118797811
0.004,173,5.0,41984,1.0209809038579067,1.0005585451172316,0.020422358740675106
